device_serial,device_type,manufacturer,model,sim_type
DEV-202602-FD61-000086,smartwatch,Samsung,Galaxy Watch 5 Pro,eSIM
DEV-202602-BC7C-000087,smartwatch,Amazfit,GTS 4,eSIM
DEV-202602-8AD3-000088,ecg_monitor,iRhythm,Zio Patch,eSIM
DEV-202602-7364-000089,pulse_oximeter,Zacurate,Pro Series 500DL,eSIM
DEV-202602-F305-000090,smartwatch,Garmin,Forerunner 955,eSIM
DEV-202602-613A-000091,smartwatch,Fitbit,Sense,eSIM
DEV-202602-82B3-000092,glucose_monitor,Senseonics,Eversense E3,
DEV-202602-9B3D-000093,ecg_monitor,AliveCor,KardiaMobile,eSIM
DEV-202602-37C6-000094,blood_pressure_monitor,Withings,BPM Core,USIM
DEV-202602-2B84-000095,smartwatch,Withings,ScanWatch,USIM
DEV-202602-FE05-000096,smartwatch,Garmin,Forerunner 255,eSIM
DEV-202602-DCC2-000097,smartwatch,Polar,Ignite 3,SIM
DEV-202602-DE5F-000098,smartwatch,Fitbit,Versa 4,eSIM
DEV-202602-328A-000099,glucose_monitor,Dexcom,G7,
DEV-202602-0E47-000100,glucose_monitor,Abbott,FreeStyle Libre 2,
